cluster_id,bucket,dedup_role,canonical_cluster_id,kinds,total_chars
85228,KEEP,canonical,85228,headnotes;summary;headmatter,898
85230,KEEP,canonical,85230,headnotes;summary;headmatter,4382
85235,KEEP,canonical,85235,headnotes;summary;headmatter,19198
85236,KEEP,canonical,85236,headnotes;summary;headmatter,3617
85238,KEEP,canonical,85238,headnotes;summary;headmatter,8715
85241,KEEP,canonical,85241,headnotes;summary;headmatter,15500
85250,KEEP,canonical,85250,headnotes;summary;headmatter;arguments,110814
85254,KEEP,canonical,85254,headnotes;headmatter,2296
85255,KEEP,canonical,85255,headnotes;summary;headmatter,1075
85259,KEEP,canonical,85259,headnotes;summary;headmatter,2255
85264,KEEP,canonical,85264,headnotes;summary;headmatter,26695
85266,KEEP,canonical,85266,headnotes;summary;headmatter;arguments,10467
85270,KEEP,canonical,85270,headnotes;summary;headmatter;arguments,21878
85272,KEEP,canonical,85272,headnotes;summary;headmatter;arguments,305750
85278,KEEP,canonical,85278,headnotes;summary;headmatter,14551
85280,KEEP,canonical,85280,headnotes;headmatter,1814
85281,KEEP,canonical,85281,headnotes;headmatter,1613
85283,KEEP,canonical,85283,headnotes;summary;headmatter;arguments,39602
85286,KEEP,canonical,85286,headnotes;summary;headmatter;arguments,13485
85287,KEEP,canonical,85287,headnotes;summary;headmatter;arguments,19337
85288,KEEP,canonical,85288,headnotes;summary;headmatter;arguments,19005
85290,KEEP,canonical,85290,headnotes;summary;headmatter,31840
85295,KEEP,canonical,85295,headnotes;summary;headmatter;arguments,34526
85296,KEEP,canonical,85296,headnotes;summary;headmatter,6364
85301,KEEP,canonical,85301,headnotes;headmatter,2574
85302,KEEP,canonical,85302,headnotes;summary;headmatter;arguments,12422
85308,KEEP,canonical,85308,headnotes;headmatter,462
1119427,KEEP,duplicate,84942,headnotes;summary;headmatter,1666
1119486,KEEP,canonical,1119486,headnotes;summary;headmatter,2204
1299599,KEEP,canonical,1299599,summary;headmatter,2492
1299604,REVIEW,canonical,1299604,summary;headmatter,14863
1299622,REVIEW,canonical,1299622,summary;headmatter,6406
1299628,REVIEW,canonical,1299628,summary;headmatter,8130
1300165,REVIEW,canonical,1300165,summary;headmatter,5278
1303472,REVIEW,canonical,1303472,summary;headmatter,1590
1303501,REVIEW,canonical,1303501,summary;headmatter,3953
1303508,REVIEW,canonical,1303508,summary;headmatter,11739
1303513,REVIEW,canonical,1303513,summary;headmatter,2834
1303605,REVIEW,canonical,1303605,summary;headmatter,7517
1303682,REVIEW,canonical,1303682,summary;headmatter,1451
1303693,REVIEW,canonical,1303693,summary;headmatter,3486
1303706,REVIEW,canonical,1303706,summary;headmatter,472
1303716,REVIEW,canonical,1303716,summary;headmatter,11366
1303722,REVIEW,canonical,1303722,summary;headmatter,4289
